baseline-timestamp,baseline-diameter_eye_0,baseline-diameter_eye_1,baseline-diameter_binocular,baseline-HR,baseline-RR,Nback_HL-timestamp,Nback_HL-diameter_eye_0,Nback_HL-diameter_eye_1,Nback_HL-diameter_binocular,Nback_HL-HR,Nback_HL-RR,Nback_LL-timestamp,Nback_LL-diameter_eye_0,Nback_LL-diameter_eye_1,Nback_LL-diameter_binocular,Nback_LL-HR,Nback_LL-RR,Nback_ML-timestamp,Nback_ML-diameter_eye_0,Nback_ML-diameter_eye_1,Nback_ML-diameter_binocular,Nback_ML-HR,Nback_ML-RR,VIS_HL-timestamp,VIS_HL-diameter_eye_0,VIS_HL-diameter_eye_1,VIS_HL-diameter_binocular,VIS_HL-HR,VIS_HL-RR,VIS_LL-timestamp,VIS_LL-diameter_eye_0,VIS_LL-diameter_eye_1,VIS_LL-diameter_binocular,VIS_LL-HR,VIS_LL-RR,VIS_ML-timestamp,VIS_ML-diameter_eye_0,VIS_ML-diameter_eye_1,VIS_ML-diameter_binocular,VIS_ML-HR,VIS_ML-RR
0.0,4.464692526246675,111.44911322424427,57.956902875245476,65.0,889.0,0.0,3.5756723693267283,,3.5756723693267283,76.0,830.0,0.0,2.848572868575573,,2.848572868575573,84.0,681.0,0.0,3.4517330163484283,12.156188070103335,7.803960543225882,80.0,737.0,0.0,4.456888633521754,,4.456888633521754,75.0,826.0,0.0,,,,75.0,827.0,0.0,,3.016513811067284,3.016513811067284,76.0,745.0
0.04,,110.86400139557834,110.86400139557834,,,0.01,3.635447790755215,,3.635447790755215,,,0.01,2.7898296864095937,,2.7898296864095937,,,0.01,3.396637853246747,,3.396637853246747,,,0.01,4.382259682896718,,4.382259682896718,,,0.02,,3.9742080877286097,3.9742080877286097,,,0.01,3.839135540565327,2.9984044945369885,3.4187700175511577,,
0.05,4.500754536821121,,4.500754536821121,,,0.02,3.841073133381237,,3.841073133381237,,,0.02,2.7898758234104823,6.236536103962454,4.5132059636864685,,,0.02,3.366291509112786,11.956407358268626,7.661349433690706,,,0.02,4.326060330447799,,4.326060330447799,,,0.03,,4.045497053155946,4.045497053155946,,,0.02,,3.2085412692417816,3.2085412692417816,,
0.06,,111.7864253942948,111.7864253942948,,,0.02,3.7021905425111337,,3.7021905425111337,,,0.02,2.8170890257811827,6.236536103962454,4.526812564871818,,,0.02,3.3953843997563733,11.956407358268626,7.6758958790125,,,0.03,4.317820140886997,,4.317820140886997,,,0.04,,3.9997213225455766,3.9997213225455766,,,0.02,,3.1955774244923196,3.1955774244923196,,
0.06,,113.23918783709809,113.23918783709809,,,0.03,3.8032142230950567,4.442819537029055,4.123016880062056,,,0.03,2.8036412401351236,,2.8036412401351236,,,0.03,3.3923390744660704,12.024094736160855,7.708216905313463,,,0.04,4.2463366414169625,,4.2463366414169625,,,0.05,,4.159998497109221,4.159998497109221,,,0.03,,3.2282999140928195,3.2282999140928195,,
0.07,,111.49683257415232,111.49683257415232,,,0.05,3.756533568796287,,3.756533568796287,,,0.04,2.8249801237624004,,2.8249801237624004,,,0.04,3.4089814522115254,,3.4089814522115254,,,0.05,,3.725202939173952,3.725202939173952,,,0.06,,4.038855290573017,4.038855290573017,,,0.04,,3.2163945773227782,3.2163945773227782,,
0.08,4.5047583215816625,111.36774089439919,57.936249607990426,,,0.06,3.5161909893818573,,3.5161909893818573,,,0.06,2.8397592206631335,,2.8397592206631335,,,0.05,3.3941642720986707,11.733036300002984,7.563600286050828,,,0.06,,3.6867871800428818,3.6867871800428818,,,0.08,,4.093415482773662,4.093415482773662,,,0.05,,3.092209109341041,3.092209109341041,,
0.1,,111.12222124071084,111.12222124071084,,,0.06,3.492061029946957,,3.492061029946957,,,0.06,2.865724080081609,,2.865724080081609,,,0.06,3.29471726317828,,3.29471726317828,,,0.07,,3.682985575301288,3.682985575301288,,,0.08,,4.139245135360587,4.139245135360587,,,0.06,,3.2341834751792318,3.2341834751792318,,
0.12,,110.72432697757128,110.72432697757128,,,0.07,3.5583896488701754,,3.5583896488701754,,,0.07,2.8870305689316136,,2.8870305689316136,,,0.06,3.363479567695564,,3.363479567695564,,,0.08,,3.568178159230197,3.568178159230197,,,0.09,7.261527700564195,,7.261527700564195,,,0.06,,3.1536405061006816,3.1536405061006816,,
0.14,4.521003069179151,112.76200596780683,58.64150451849299,,,0.08,3.5268920627838347,,3.5268920627838347,,,0.08,2.9001280164496355,6.278976365990733,4.589552191220184,,,0.07,3.3519328361480523,,3.3519328361480523,,,0.09,,3.694118598943404,3.694118598943404,,,0.13,7.417987859468816,,7.417987859468816,,,0.07,,3.1658443265491165,3.1658443265491165,,
